,pairing,moment
0,"[(4, 9), (3, 7), (2, 8), (1, 5), (0, 6)]",0.042388023066709885
1,"[(5, 9), (3, 8), (2, 6), (1, 7), (0, 4)]",0.04311245877943172
2,"[(5, 9), (4, 7), (2, 8), (1, 6), (0, 3)]",0.043781762683081656
3,"[(6, 9), (3, 8), (2, 5), (1, 7), (0, 4)]",0.04469782776281349
4,"[(5, 8), (3, 7), (2, 9), (1, 6), (0, 4)]",0.045466453679242
5,"[(4, 8), (3, 6), (2, 9), (1, 7), (0, 5)]",0.04708463643102291
6,"[(5, 9), (3, 7), (2, 8), (1, 6), (0, 4)]",0.04715577773780395
7,"[(4, 8), (3, 9), (2, 6), (1, 7), (0, 5)]",0.04730966058940093
8,"[(4, 8), (3, 9), (2, 5), (1, 7), (0, 6)]",0.04872720993467205
9,"[(4, 9), (3, 7), (2, 5), (1, 8), (0, 6)]",0.04917866109517557
10,"[(6, 9), (4, 8), (2, 7), (1, 5), (0, 3)]",0.049757994101139645
11,"[(4, 7), (3, 9), (2, 6), (1, 8), (0, 5)]",0.05025672711073155
12,"[(4, 9), (3, 6), (2, 8), (1, 5), (0, 7)]",0.0504253147676707
13,"[(5, 9), (3, 8), (2, 6), (1, 4), (0, 7)]",0.05232933673013025
14,"[(4, 9), (3, 6), (2, 7), (1, 8), (0, 5)]",0.05396763161536165
15,"[(5, 9), (4, 8), (3, 6), (1, 7), (0, 2)]",0.05406006120526617
16,"[(6, 9), (3, 8), (2, 7), (1, 4), (0, 5)]",0.054853519239617614
17,"[(4, 9), (3, 8), (2, 5), (1, 6), (0, 7)]",0.0552738452968907
18,"[(5, 8), (4, 9), (2, 7), (1, 6), (0, 3)]",0.05637922669002794
19,"[(4, 9), (3, 6), (2, 5), (1, 8), (0, 7)]",0.05749551837216243
20,"[(4, 7), (3, 8), (2, 9), (1, 6), (0, 5)]",0.057847132251358166
21,"[(5, 8), (3, 9), (2, 6), (1, 7), (0, 4)]",0.05811849866742327
22,"[(4, 8), (3, 9), (2, 6), (1, 5), (0, 7)]",0.05892968505697466
23,"[(6, 9), (5, 8), (2, 7), (1, 4), (0, 3)]",0.05920956398018502
24,"[(4, 8), (3, 5), (2, 9), (1, 7), (0, 6)]",0.05940155988830294
25,"[(5, 8), (4, 9), (3, 7), (1, 6), (0, 2)]",0.05964021141077351
26,"[(5, 7), (4, 9), (2, 8), (1, 6), (0, 3)]",0.05969783811999721
27,"[(5, 9), (4, 8), (2, 6), (1, 7), (0, 3)]",0.060898238946146974
28,"[(4, 8), (3, 9), (2, 7), (1, 5), (0, 6)]",0.06137414310657264
